request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
3157be15-4a13-4a90-99ed-5d8ef13d51ef,ar-dist-0213,3755991.268928362,3755991.7754989658,3755994.807411346,2501,88,0.506570603698492,3.031912380363792
4b167d05-240e-4a47-900f-1c45555c5d48,ar-dist-0176,3755993.058686114,3755993.933951609,3755995.4880152987,2501,45,0.8752654949203134,1.5540636898949742
c52c428e-ceb1-45b2-9545-08a8e9aa98bc,ar-dist-0430,3755992.215817567,3755992.966036524,3755995.488100329,3741,76,0.7502189571969211,2.5220638047903776
08955e5e-cb0b-48a4-af00-926e05a36c4a,ar-dist-0768,3755993.268556371,3755994.1161873247,3755995.488166139,3901,43,0.8476309538818896,1.3719788142479956
1dbc1e26-16af-4ba2-9ec9-db828198e490,ar-dist-0481,3755993.796334984,3755994.6847338215,3755995.5917871995,3741,42,0.8883988377638161,0.9070533779449761
c3d861c3-9b76-4ca6-8917-1608e359bd2a,ar-dist-0133,3755993.585106225,3755994.382224659,3755995.670473994,1501,50,0.7971184337511659,1.2882493352517486
49644170-92ad-42aa-855f-5bf14f12c4ff,ar-dist-0790,3755992.952919942,3755993.829373381,3755995.9474669797,3901,70,0.8764534392394125,2.1180935986340046
47f23052-70e8-443d-9113-0c42b9725437,ar-dist-1000,3755994.321500753,3755995.295159852,3755996.1384260673,6001,42,0.9736590990796685,0.8432662151753902
e285bd68-061d-4019-b09f-4ca7bbea541b,ar-dist-0557,3755993.690427123,3755994.585157907,3755996.1399134933,3741,53,0.8947307839989662,1.5547555861994624
72fb3bcd-d152-4216-ad09-3b820ef40ef3,ar-dist-0314,3755993.900727109,3755994.805978101,3755996.3398134443,3251,59,0.9052509921602905,1.5338353430852294
b79dc8fb-dfd2-448e-abc1-2bbffcac95e8,ar-dist-0439,3755994.427096773,3755995.380882895,3755996.340638298,3741,48,0.9537861221469939,0.9597554029896855
06c06ecd-b825-4c82-bf7b-f422463ffe93,ar-dist-0611,3755994.110689034,3755994.996045675,3755996.42704037,3741,47,0.8853566409088671,1.4309946950525045
bd6a8c0f-aff9-476a-950e-7196036ecb03,ar-dist-0832,3755994.637277198,3755995.668972967,3755996.42713684,3901,38,1.0316957691684365,0.7581638726405799
69509223-5786-459e-9c7a-9aea4070eea5,ar-dist-0983,3755993.479865405,3755994.3817646066,3755996.4272023705,3901,64,0.9018992017954588,2.0454377639107406
e8d5046f-3c5e-4f45-94c2-89555fa16696,ar-dist-0257,3755992.848083314,3755993.727574267,3755996.427263661,3251,96,0.8794909529387951,2.699689393863082
e963a8d6-a8d3-472a-8c7f-273ae4d9bbd2,ar-dist-0517,3755994.532480542,3755995.589853072,3755996.620068843,3741,38,1.057372529990971,1.0302157709375024
d7fc0b54-93f4-47fd-885d-9a29e6559ee8,ar-dist-0399,3755993.164887268,3755994.0145721408,3755996.754882132,3741,60,0.8496848726645112,2.7403099914081395
afc3f6b4-9cbf-48c8-8bcb-2e315d29c143,ar-dist-0059,3755995.269321883,3755996.1380885863,3755996.8576053563,1501,36,0.8687667031772435,0.7195167699828744
5616d159-7569-40d8-b1f8-ef5ebe62e0c2,ar-dist-0994,3755994.95327559,3755995.9458136344,3755996.9292400614,4051,51,0.9925380442291498,0.9834264270029962
ef057ecf-3322-4c81-a0da-4f4a265188b2,ar-dist-0235,3755995.479946747,3755996.338778169,3755997.015624432,2501,37,0.8588314219377935,0.676846262998879
cf67d742-93cb-4fcd-88d2-4cead95c75f2,ar-dist-0804,3755993.374342254,3755994.3013120648,3755997.015744954,3901,55,0.9269698108546436,2.7144328891299665
8537c415-b790-4e74-9539-c5a5834a6ad7,ar-dist-0085,3755995.058609587,3755995.9453134923,3755997.1140139,1501,50,0.8867039051838219,1.1687004077248275
5c910346-7622-4d2f-9683-d4678d9b7065,ar-dist-0933,3755994.217303468,3755995.092528028,3755997.213854954,3901,62,0.87522456003353,2.121326926164329
c90196eb-c9fc-42e3-8c0f-6476671a5d07,ar-dist-0646,3755996.005946226,3755996.676008198,3755997.3173569017,3901,36,0.6700619719922543,0.641348703764379
08ee7e1e-09bb-46e9-b001-28735e6da510,ar-dist-0265,3755995.37458782,3755996.2346262187,3755997.4048703397,3251,53,0.8600383987650275,1.1702441209927201
